visual_id,links
8281,17
8282,17
8283,17
8284,15
8285,11
8286,7
8287,14
8288,8
8289,17
8290,7
8291,7
8292,6
8293,9
8294,9
8296,9
8297,7
8298,10
8299,7
8300,12
8301,9
8302,6
8303,7
8304,8
8305,11
8306,18
8307,6
8308,9
8309,7
8310,9
8311,12
8312,8
8313,9
8314,11
8315,8
8316,6
8317,6
8318,6
8319,6
8320,8
8321,6
8322,6
8324,15
8325,18
8326,17
8327,19
8328,10
8329,11
8330,9
8331,9
8332,8
8333,6
8334,6
8335,9
8336,9
8338,5
8340,16
8341,7
8342,6
8344,7
8345,7
8346,6
8347,10
8348,10
8349,10
8350,7
8351,6
8352,10
8353,9
8354,7
8355,8
8356,8
8357,9
8358,11
8359,9
8360,9
8361,8
8362,12
8363,6
8364,7
8365,13
8366,9
8367,13
8368,11
8369,8
8370,8
8371,6
8372,6
8373,6
8379,14
8380,14
8381,9
8382,23
8383,23
8384,12
8385,6
8386,12
8387,8
8388,12
8389,6
8390,7
8391,11
8392,11
8393,11
8394,11
8395,9
8396,8
8397,9
8398,7
8399,10
8400,10
8401,10
8402,10
8403,7
8404,8
8405,7
8406,6
8407,13
8408,13
8409,9
8410,12
8411,16
8412,16
8413,10
8414,8
8415,8
8416,8
8417,8
8418,10
8419,8
8420,8
8421,16
8422,10
8423,17
8424,17
8425,17
8426,15
8427,17
8428,15
8429,14
8430,12
8431,12
8432,11
8433,13
8434,17
8435,11
8436,8
8438,8
8439,8
8440,8
8441,10
8442,10
8443,10
8444,8
8445,11
8446,13
8447,13
8448,11
8449,9
8450,18
8451,14
8452,18
8453,18
8454,12
8455,13
8456,13
8457,9
8458,9
8459,9
8460,8
8461,8
8462,8
8463,10
8464,21
8465,7
8466,11
8467,8
8468,8
8471,6
8472,7
8473,10
8474,9
8475,9
8476,10
8477,8
8478,11
8479,11
8480,10
8481,7
8482,6
8483,6
8484,9
8485,7
8486,7
8487,7
8488,8
8489,10
8490,10
8491,10
8492,9
8493,9
8494,10
8495,6
8496,6
8497,6
8498,6
8499,9
8500,6
8501,6
8502,6
8503,6
8504,6
8505,6
8506,6
8507,6
8508,7
8509,7
8510,6
8511,6
8512,7
8513,8
8514,9
8515,9
8516,8
8517,8
8518,8
8519,9
8520,6
8521,9
8522,6
8523,8
8524,7
8525,7
8526,10
8527,6
8528,6
8529,6
8530,7
8531,6
8532,7
8533,16
8534,16
8535,15
8536,7
