id,colser_id,container_type,container_number,folder_number,folder_title,folder_title_japanese,production_date,sequence_no,item_id,subjecttype_id,language,no_of_duplicates,notes_on_original_container,item_descriptions,item_date,notes,physical_descriptions,dimensions,av_specifications,separated_material
1,24,Manuscript Box,84,164,November 1964,"",1964/11/n.d.-1964/11/n.d.,7001,19641100Y,6,Japanese,"","","","","","","","",""
2,24,Manuscript Box,84,166,February 1968,"",1968/02/25-1968/03/10,7003,19680225PE,2,English,"","","","","","","","",""
3,24,Manuscript Box,84,167,October 1968,"",1968/10/27-1968/11/10,7004,19681027PE,2,English,"","","","","","","","",""
4,24,Manuscript Box,84,167,October 1968,"",1968/10/27-1968/11/10,7005,19681027Y,6,Japanese,"","","","","","","","",""
5,24,Manuscript Box,84,168,May 1969,"",1969/05/11-1969/05/25,7006,19690511PE,2,English,"","","","","","","","",""
6,24,Manuscript Box,84,169,September 1969,"",1969/09/14-1969/09/21,7007,19690914FJ,4,Japanese,"","","","","","","","",""
7,24,Manuscript Box,84,169,September 1969,"",1969/09/14-1969/09/21,7008,19690914PE,2,English,"","","","","","","","",""
8,24,Manuscript Box,84,170,October 1969,"",1969/10/26-1969/11/09,7009,19691026PE,2,English,"","","","","","","","",""
9,26,Manuscript Box,112,499,February 1970,"",1970/02/08-1970/02/20,8001,19700208AT,19,Japanese,"","",Date stamped,19 Feb. 1970,"","","","",""
10,24,Manuscript Box,84,171,February 1970,"",1970/02/08-1970/02/20,7010,19700208FE,5,English,"","","","","","","","",""
11,24,Manuscript Box,84,171,February 1970,"",1970/02/08-1970/02/20,7011,19700208FJ,4,Japanese,"","","","","","","","",""
12,24,Manuscript Box,84,171,February 1970,"",1970/02/08-1970/02/20,7012,19700208PE,2,English,1,"","","","","","","",""
13,24,Manuscript Box,84,171,February 1970,"",1970/02/08-1970/02/20,7013,19700208PJ,1,Japanese,1,"","","","","","","",""
14,24,Manuscript Box,84,171,February 1970,"",1970/02/08-1970/02/20,7014,19700208Y,6,Japanese,1,"","","","","","","",""
19,24,Manuscript Box,84,172,April 1970,"",1970/04/03-1970/04/13,7015,19700403PE,2,English,"","","","","","","","",""
20,24,Manuscript Box,84,172,April 1970,"",1970/04/03-1970/04/13,7016,19700403PJ,1,Japanese,"","","","","","","","",""
21,24,Manuscript Box,84,172,April 1970,"",1970/04/03-1970/04/13,7017,19700403Y,6,Japanese,"","","","","","","","",""
23,24,Manuscript Box,84,173,May 1970,"",1970/05/24-1970/06/07,7018,19700524FE,5,English,"","","","","","","","",""
24,24,Manuscript Box,84,173,May 1970,"",1970/05/24-1970/06/07,7019,19700524PE,2,English,"","","","","","","","",""
25,24,Manuscript Box,84,174,July 1970,"",1970/07/07-1970/07/26,7020,19700707PJ,1,Japanese,"","","","","","","","",""
26,24,Manuscript Box,84,175,"August 1970, Tour","",1970/08/01-1970/08/05,7021,19700801PJ,1,Japanese,"","","","","","","","",""
27,24,Manuscript Box,84,177,September 1970,"",1970/09/13-1970/09/20,7023,19700913PE,2,English,"","","","","","","","",""
28,24,Manuscript Box,84,177,September 1970,"",1970/09/13-1970/09/20,7024,19700913PJ,1,Japanese,"","","","","","","","",""
29,24,Manuscript Box,84,178,October 1970,"",1970/10/11-1970/10/25,7025,19701011PJ,1,Japanese,"","","","","","","","",""
30,24,Manuscript Box,84,178,October 1970,"",1970/10/11-1970/10/25,7026,19701011Y,6,Japanese,"","","","","","","","",""
31,26,Manuscript Box,112,503,November 1970,"",1970/11/08-1970/11/22,8005,19701108NA,14,English,"","","Nagata Kōkichi, """"Famous Bunraku Drama will Open Here Nov. 8"""" [n.p.]", [n.d.],"",Photocopy,"","",""
32,24,Manuscript Box,84,179,November 1970,"",1970/11/08-1970/11/22,7027,19701108PE,2,English,"","","","","","","","",""
33,24,Manuscript Box,84,179,November 1970,"",1970/11/08-1970/11/22,7028,19701108PJ,1,Japanese,"","","","","","","","",""
34,24,Manuscript Box,84,179,November 1970,"",1970/11/08-1970/11/22,7029,19701108Y,6,Japanese,"","","","","","","","",""
35,26,Manuscript Box,112,504,February 1971,"",1971/02/07-1971/02/21,8006,19710207NA1,14,English,"","","Nagata Kōkichi, """"Two Bunraku Plays Offered This Month at Nat'l Theater"""" in Asahi Evening News",11 Feb. 1971,"",Photocopy,"","",""
36,26,Manuscript Box,112,504,February 1971,"",1971/02/07-1971/02/21,8007,19710207NA2,14,English,"","","Yamamoto Yuki, """"Rare Vendetta Play Seen in 'Toshi' by Bunraku Puppets 1st in 143 Years"""" in The Japan Times",15 Feb. 1971,"",Photocopy,"","",""
37,24,Manuscript Box,84,180,February 1971,"",1971/02/07-1971/02/21,7030,19710207PE,2,English,"","","","","","","","",""
38,24,Manuscript Box,84,180,February 1971,"",1971/02/07-1971/02/21,7031,19710207PJ,1,Japanese,"","","","","","","","",""
39,24,Manuscript Box,84,180,February 1971,"",1971/02/07-1971/02/21,7032,19710207Y,6,Japanese,"","","","","","","","",""
42,24,Manuscript Box,84,181,April 1971,"",1971/04/10-1971/04/25,7033,19710410PJ,1,Japanese,"","","","","","","","",""
43,24,Manuscript Box,84,181,April 1971,"",1971/04/10-1971/04/25,7034,19710410Y,6,Japanese,"","","","","","","","",""
45,24,Manuscript Box,84,182,May 1971,"",1971/05/23-1971/06/06,7035,19710523FJ,4,Japanese,"","","","","","","","",""
46,24,Manuscript Box,84,182,May 1971,"",1971/05/23-1971/06/06,7036,19710523PE,2,English,1,"","","","","","","",""
47,24,Manuscript Box,84,182,May 1971,"",1971/05/23-1971/06/06,7037,19710523PJ,1,Japanese,"","","","","","","","",""
48,24,Manuscript Box,84,182,May 1971,"",1971/05/23-1971/06/06,7038,19710523Y,6,Japanese,"","","","","","","","",""
49,24,Manuscript Box,84,183,July 1971,"",1971/0707/1971/07/30,7039,19710707PEJ,1,English/Japanese,"","","","","","","","",""
50,26,Manuscript Box,112,505,September 1971,"",1971/09/12-1971/09/19,8008,19710912NA,14,English,"","","Yamamoto Yuki, """"Young Puppeteers Featured With Osaka Bunraku Dolls"""" [n.p.]",[n.d.],"",Photocopy,"","",""
52,24,Manuscript Box,85,184,September 1971,"",1971/09/12-1971/09/19,7040,19710912-1NPC,26,English,"","","","","","","","",""
53,24,Manuscript Box,85,184,September 1971,"",1971/09/12-1971/09/19,7041,19710912-1PE,2,English,"","","","","","","","",""
54,24,Manuscript Box,85,184,September 1971,"",1971/09/12-1971/09/19,7042,19710912-1PJ,1,Japanese,"","","","","","","","",""
55,24,Manuscript Box,85,184,September 1971,"",1971/09/12-1971/09/19,7043,19710912-1Y,6,Japanese,"","","","","","","","",""
