paperaudio_id,play_id
1,86
1,29
1,47
1,18
1,7
1,72
1,87
2,83
2,5
2,88
2,65
2,6
2,70
3,30
3,66
3,32
4,30
4,66
4,32
5,72
5,68
5,33
6,90
6,91
6,35
7,90
7,91
7,35
8,27
10,26
10,82
11,26
11,82
12,26
12,82
13,26
13,82
14,26
14,82
19,62
20,62
21,62
23,62
24,62
25,3
25,70
26,109
26,3
27,73
28,73
29,92
29,79
29,15
29,32
30,92
30,79
30,15
30,32
31,93
31,37
32,93
32,37
33,93
33,37
34,37
34,93
35,80
35,94
35,64
36,80
36,94
36,64
37,94
37,64
37,80
38,94
38,64
38,80
39,94
39,64
39,80
42,79
42,95
42,9
42,83
43,79
43,95
43,9
43,83
45,19
45,22
46,19
46,22
47,19
47,22
48,19
48,22
49,61
49,96
49,71
49,31
50,72
50,75
50,83
52,72
52,75
52,83
53,72
53,75
53,83
54,72
54,75
54,83
55,72
55,75
55,83
56,169
56,97
56,20
56,98
56,58
56,5
57,5
57,20
57,58
57,97
57,98
58,5
58,20
58,58
58,97
58,98
60,99
60,92
60,24
60,35
61,99
61,35
61,24
61,92
62,99
62,92
62,24
62,33
63,99
63,92
63,24
63,35
64,99
64,92
64,24
64,35
67,100
67,72
67,82
67,101
67,65
67,60
68,100
68,72
68,82
68,101
68,65
68,60
69,38
69,101
69,7
70,38
70,101
70,7
71,38
71,101
71,7
73,29
73,102
73,103
73,23
73,33
74,29
74,102
74,103
74,23
74,33
76,73
77,73
78,73
79,73
81,104
81,33
81,32
82,57
82,39
82,34
82,104
82,32
84,105
84,21
84,96
84,45
85,45
85,105
85,21
85,96
86,45
86,105
86,21
86,96
87,45
87,105
87,21
87,96
88,35
89,35
90,63
91,63
93,63
94,63
95,16
95,82
95,49
96,16
96,82
96,49
97,100
97,2
97,90
97,6
97,88
98,100
98,2
98,90
98,6
98,88
100,109
100,45
100,60
100,33
100,82
100,83
101,110
102,110
103,110
104,110
105,110
106,110
107,62
107,41
107,66
107,77
107,16
107,54
107,36
108,62
108,41
108,66
108,77
108,16
108,54
108,36
109,111
109,112
109,83
110,111
110,112
110,83
111,106
111,41
111,107
111,95
111,104
111,25
112,106
112,41
112,107
112,95
112,104
112,25
113,106
113,41
113,107
113,95
113,104
113,25
114,106
114,41
114,107
114,95
114,104
114,25
115,106
115,41
115,107
115,95
115,104
115,25
116,75
116,106
116,27
117,106
117,75
117,107
117,18
117,27
117,59
118,106
118,75
118,107
118,18
118,27
118,59
120,17
121,75
121,108
121,17
121,1
122,17
122,1
122,75
122,108
123,17
123,1
123,75
123,108
124,17
124,1
124,75
124,108
125,17
125,1
125,75
125,108
127,40
127,34
127,7
127,17
128,40
128,34
128,7
128,17
129,40
129,34
129,7
129,17
130,40
130,7
131,40
131,7
132,40
132,7
135,100
135,85
135,113
135,73
135,32
136,100
136,85
136,113
136,73
136,32
137,23
137,6
137,87
137,114
137,29
137,109
138,6
138,29
138,109
138,114
138,23
139,23
139,6
139,87
139,114
139,29
139,109
140,23
140,6
140,87
140,114
140,29
140,109
141,23
141,6
141,87
141,114
141,29
141,109
142,16
143,16
144,16
145,16
145,115
146,16
146,115
147,16
147,115
148,16
148,115
149,102
149,97
149,29
149,72
149,6
149,62
150,11
150,3
150,25
150,82
151,11
151,3
151,25
151,82
152,58
152,90
153,58
153,90
154,58
154,90
155,70
155,60
155,7
156,93
156,45
156,60
156,70
157,93
157,45
157,60
157,70
158,30
158,80
158,74
159,30
159,80
159,74
160,30
160,80
160,74
161,30
161,80
161,74
162,72
162,118
162,90
162,116
162,31
163,72
163,118
163,90
163,116
163,31
164,72
165,72
165,119
166,72
166,119
167,72
167,119
168,121
168,120
168,108
168,63
168,80
169,120
169,80
169,121
169,62
169,108
169,63
170,120
170,80
170,121
170,62
170,108
170,63
171,55
171,48
171,82
172,55
172,48
172,82
173,55
173,48
173,82
174,55
174,48
174,82
176,122
176,1
176,74
176,29
176,83
177,122
177,1
177,74
177,29
177,83
178,78
179,78
180,78
181,78
183,27
183,15
183,26
183,22
183,47
184,27
184,15
184,26
184,22
184,47
185,27
186,27
187,27
188,27
189,27
191,30
191,48
191,14
191,100
192,100
192,48
192,14
192,30
193,73
193,32
193,26
193,3
194,32
195,73
195,32
195,26
195,3
196,73
196,32
196,26
196,3
197,73
197,32
197,26
197,3
198,73
198,32
198,26
198,3
199,73
199,32
199,26
199,3
200,68
200,38
200,73
200,37
201,68
201,38
201,73
201,37
203,15
203,5
203,81
203,71
204,15
204,5
204,81
204,71
205,71
205,81
205,15
205,5
206,71
206,5
206,81
206,15
208,15
208,5
208,81
208,71
209,15
209,5
209,81
209,71
210,15
210,5
210,81
210,71
211,15
211,5
211,81
211,71
212,64
212,125
212,104
212,63
213,125
213,104
213,63
213,64
214,125
214,104
214,63
214,64
215,35
216,110
216,127
216,58
216,4
217,110
217,127
217,58
217,4
218,63
219,63
220,63
221,63
222,63
223,63
224,63
225,63
226,63
228,5
228,77
228,27
228,75
228,46
229,5
229,77
229,27
229,75
229,46
230,29
231,82
232,94
233,77
234,39
235,29
235,82
235,94
235,77
235,39
236,82
237,29
237,82
237,94
237,77
237,39
238,29
238,82
238,94
238,77
239,29
239,94
240,29
240,82
240,94
240,77
240,39
241,29
241,82
241,94
241,77
241,39
242,29
242,82
242,94
242,77
242,39
243,79
244,79
245,79
246,79
247,79
248,79
249,79
250,79
251,79
252,79
253,79
254,79
255,79
256,79
257,79
258,16
258,70
258,45
258,59
259,16
259,70
259,45
259,59
260,26
261,32
262,32
263,32
264,26
264,32
264,21
264,59
265,26
266,26
266,32
266,21
266,59
267,26
267,32
267,21
267,59
268,73
268,33
269,80
270,80
271,129
272,24
273,129
273,24
273,80
274,80
275,129
275,24
275,80
276,130
277,98
278,98
279,18
281,2
282,2
282,98
282,18
283,2
283,67
284,18
284,2
284,98
285,98
285,2
285,18
286,98
286,2
286,18
287,98
287,2
287,18
288,98
288,2
288,18
289,98
289,2
289,18
290,98
290,2
290,18
291,98
291,2
291,18
292,18
292,88
292,7
292,83
293,18
293,88
293,7
293,83
294,63
296,45
296,33
296,109
297,45
297,33
297,109
298,45
298,33
298,109
299,45
299,33
299,109
300,45
300,33
300,109
304,40
304,70
304,42
304,24
304,6
305,40
305,70
305,42
305,24
305,6
306,40
306,70
306,42
306,24
306,6
307,73
307,83
307,75
307,20
307,61
308,73
308,83
308,75
308,20
308,61
309,73
309,83
309,75
309,20
309,61
310,73
310,83
310,75
310,20
310,61
311,73
311,83
