paperaudio_id,scene_id
1151,539
1152,101
1153,101
1154,361
1155,101
1155,363
1156,427
1157,101
1158,427
1159,427
1160,426
1161,237
1161,245
1162,237
1162,245
1163,110
1164,110
1166,234
1167,75
1169,174
1169,177
1171,174
1171,177
1173,226
1174,226
1175,34
1176,263
1177,532
1180,362
1181,362
1182,362
1182,363
1184,134
1184,135
1185,135
1185,136
1188,101
1191,101
1192,565
1221,444
1232,158
1232,101
1239,566
1240,566
1249,566
1251,566
1254,566
1256,138
1266,566
1276,101
1328,566
1338,134
1339,135
1340,135
1512,263
1512,458
1512,360
1512,524
1513,358
1513,112
1513,285
1513,79
1513,97
1513,393
1513,110
1513,94
1513,239
1514,263
1514,613
1514,336
1514,250
1514,43
1514,335
1514,330
1514,535
1514,148
1515,566
1515,107
1515,614
1515,179
1515,352
1515,362
1515,182
1515,353
1515,470
1515,66
1515,106
1515,371
1516,399
1516,210
1516,280
1516,190
1516,589
1516,226
1516,402
1516,623
1516,242
1516,219
1516,630
1516,222
1517,47
1517,444
1517,101
1517,10
1517,71
1517,512
1517,276
1517,236
1517,186
1517,55
1517,228
1517,237
1518,103
1518,79
1518,524
1518,163
1518,399
1518,353
1518,84
1518,391
1518,494
1601,210
1608,629
1766,101
1898,371
1898,336
1898,158
1898,629
1898,47
1898,296
1898,451
1898,242
1898,276
1898,287
1898,101
1899,336
1899,674
1899,138
1899,574
1899,566
1899,264
1899,353
1899,466
1899,234
1899,382
1974,263
1974,336
1974,280
1974,309
1974,353
1974,363
1974,536
1974,296
1974,55
1974,34
1974,245
1974,267
2087,630
2088,158
2089,630
2090,101
2091,566
2092,566
2092,353
2092,512
2092,101
2092,382
2092,235
2092,613
2092,336
2093,47
2094,101
2095,101
2095,537
2095,382
2097,155
2097,297
2097,87
2097,361
2097,360
2253,263
2253,148
2253,615
2253,333
2253,532
2253,39
2253,42
2253,296
2253,292
2253,335
2253,613
2254,192
2254,214
2254,623
2254,402
2254,219
2254,630
2254,222
2254,225
2254,247
2254,589
2254,280
2255,202
2255,266
2255,110
2255,287
2255,333
2255,158
2255,104
2255,238
2255,101
2255,248
2255,117
2255,372
2256,263
2256,237
2256,192
2256,629
2256,226
2256,296
2256,236
2256,445
2256,299
2256,55
2256,615
2256,613
2454,353
2455,259
2455,219
2455,233
2455,148
2455,427
2456,34
2458,182
2458,363
2458,55
2458,34
2458,237
2458,267
2461,330
2462,363
2475,220
2488,408
